"","x"
"835","babaaacc"
"836","baaaaaabababaacc"
"837","aabaaaaacc"
"838","aabaaaaacc"
"839","aababaacc"
"840","aababababacc"
"841","aaabaaacc"
"842","bbaaacc"
"843","aabaaaaaaacc"
"844","aabababaaaaababaaaaaaacc"
"845","aabababaaaaaaacabababaaaaabaacc"
"846","aabaaaacc"
"847","aababaabaaaaabababaacc"
"848","aaaaabaaaababaaaaaaaaaacc"
"849","aabaaaacc"
"850","aababaaacc"
"851","aabababaaaabaabbabaabaaaabbaaacc"
"852","aabaaaaacabaaababacc"
"853","aabaacc"
"854","aabbababacc"
"855","aabbabaababaaacc"
"856","aabaabaaccabaaaacc"
"857","aaababaaaababaaaacc"
"858","aababaaaaabaaacc"
"859","aaacc"
"860","aaaababababaaaaabaabaaaaabaaaabaaaaaaacc"
"861","aaabaaaaacc"
"862","aacc"
"863","aaababaabbababaaaababaaacc"
"864","aababacc"
"865","aababaacc"
"866","aababbabaaaaabababbaacc"
"867","aaaaaaac"
"868","aaababaaaaacc"
"869","aaababaaaaaaababaaaaaaacc"
"870","aababaaaaacc"
"871","aabaabaaacc"
"872","aaabbaacaaaababaaacbaaacc"
"873","aabaaaababbaaabaaacc"
"874","aababaaaaabababbabaaaaacc"
"875","aaabbababbabaaaaaaacc"
"876","aabaaaaaaaaaacc"
"877","aaccbaaabaaaabaabaaacc"
"878","aababaaacaabaaaaaacabaaaaababaaaaababaaaaabacc"
"879","aaaabaaabaaababaaaabaaabababaaabaaaaaaaaaacc"
"880","aabbabacc"
"881","aaabaaacaaaaaaacc"
"882","aabaaaaaaaaacc"
"883","aaacc"
"884","aabaaaaaaaaabaaaacc"
"885","aaaabababababaacc"
"886","babaaaaaaacc"
"887","baaabbaabaaabaababaababaaacc"
"888","baaabaabaaaacc"
"889","baaaaaaaaaaaaaaaaaaacc"
"890","aababaaaaaacc"
"891","bababcc"
"892","aabaaacc"
"893","babacc"
"894","baaacabaaaacc"
"895","bababaacc"
"896","baaaaaaacacc"
"897","bacc"
"898","bacc"
"899","bacc"
"900","aababaccacc"
"901","aabaaaaaaaaaaacc"
"902","aababaaaaaaacc"
"903","aaaaaaac"
"904","aaababaaaaacc"
"905","bbabaaaaababaaacc"
"906","bbbabaaacc"
"907","bbacc"
"908","aabababaabaacc"
"909","aabaaabaaaaaaaaaaaaabababababaababaaaaabaaacc"
"910","aaaaaacc"
"911","aababaaaaacc"
"912","aacaaabaaacc"
"913","aabaabababaaacc"
"914","baaaaaaaaaabaacc"
"915","babaaaababaacbabacbaacc"
"916","baaaababaaaaacc"
"917","bababaaaaaaaacc"
"918","bbbaaaaaaaacc"
"919","aabaaaaaacc"
"920","aaaaaaaaccbaccbaaaaaaacc"
"921","aabaaacc"
"922","aacacc"
"923","aabacc"
"924","aababababababacc"
"925","bbabaaacc"
"926","bbaacc"
"927","bbbaacc"
"928","bbbabaaaacc"
"929","aaabaacc"
"930","aaaabaaaaaaacc"
"931","aababaaaabaaaababaaaaaaababaaaaaaababaaacc"
"932","aababaaaacc"
"933","aabaaabacc"
"934","aabababaaacc"
"935","aabaacc"
"936","aacc"
"937","aaaaaaaaaacc"
"938","aaaaacc"
"939","aabaabababaaaaaaacc"
"940","aaaac"
"941","aabaaaacc"
"942","aaacc"
"943","baaabaacc"
"944","baaabaabacc"
"945","baacc"
"946","baababacacc"
"947","baacc"
"948","babaaaacc"
"949","bacabaaaacc"
"950","babaaaacc"
"951","baabaaaaaaacc"
"952","babaaaaaacc"
"953","babaaaaaacc"
"954","bababbaacc"
"955","babaaaacc"
"956","baacc"
"957","baacacacc"
"958","bacc"
"959","bacc"
"960","bacc"
"961","babaaaacc"
"962","aaaaaaabacc"
"963","aabaaaacc"
"964","aabbaaababbaaaaacc"
"965","aababaaaaacc"
"966","aabababaaaabaacc"
"967","aabaaaacc"
"968","aabacacbacc"
"969","aabaaaaaababababacc"
"970","aaabaaaaaaaaaabaaacc"
"971","abbabaacaaacc"
"972","bbabaaacc"
"973","bbbacc"
"974","aaaaaabacc"
"975","aabaaaaabacc"
"976","aabaaabaaaaaaabacc"
"977","aabaabaaaaaaaaaaacbaaaaacc"
"978","aababaabaaaaaababaaabababaacc"
"979","aabababaaaaacc"
"980","aabaabaaaabaacc"
"981","aabaaacc"
"982","aaababaaaaacc"
"983","aabaacc"
"984","aababaaaaaaaaaaaacc"
"985","aababababababaababababbababaaacc"
"986","aabaababaabaaacc"
"987","aaaacabaaaaaaacbaacc"
"988","aabababaacc"
"989","baaaaaaababaaaabaaabaaaaacc"
"990","baaaaaaaaaaaaaacc"
"991","baabaaaaaccaabacc"
"992","aabaabbabaaacc"
"993","aabaabaaacc"
"994","aabaaaaacc"
"995","aaabaaaacc"
"996","aabababaacc"
"997","aaaaacc"
"998","aaaabaaabacc"
"999","aababababaaaaaaacc"
"1000","aabaaabaaacc"
"1001","aabaaaaacc"
"1002","aaababaaaababaaaaacc"
"1003","aabbabababaababacc"
"1004","aabaaaabacaaabaaabaaacc"
"1005","aababaaababacc"
"1006","aabaaabaaaaaacc"
"1007","aaabbabaabababaaaaacc"
"1008","aaabababaabababaacc"
"1009","aaacc"
"1010","aacacc"
"1011","aaaaccc"
"1012","aabaaabaaaaabbaaaabaabababbabaaaacc"
"1013","aacc"
"1014","aabaaaacc"
"1015","baaaaaaaacc"
"1016","aabaaabacaaacc"
"1017","aaaabaaaacc"
"1018","aabaabaaacc"
"1019","aacabaacc"
"1020","aaaabaaacbaaacc"
"1021","aaababaaaaaaaaacc"
"1022","aababaaaaacc"
"1023","aabaabaaabaaaccabaaaaacc"
"1024","aabaaaaaacc"
"1025","aaacc"
"1026","aabaaaaabaaaaabaabaaaababaaaaacc"
"1027","aabaaaaaaaaaaaaaaaaaaaaaaaaaaaacc"
"1028","aabaaaaaacc"
"1029","aababaaaaabaaabaaaacc"
"1030","aabaaaacaabaaaacc"
"1031","aaaaaaaaacc"
"1032","aababababaaaababababaacababababaaaaababababaabababababaaacc"
"1033","aabaaabababaaaaaababaababbabaaabaababaaaaaaababacc"
"1034","aabaaaaaacc"
"1035","aaaaabaaaacc"
"1036","aaabaaacc"
"1037","aababababaaaababaaaaacc"
"1038","aabaaacc"
"1039","aaaaacc"
"1040","aabaaaabaaaacc"
"1041","aabaacc"
"1042","aaacc"
"1043","abbaaacc"
"1044","aaabababaaaaaabaaaaaaaaacc"
"1045","aabaacc"
"1046","aababababaaaabaaaaaacc"
"1047","aabaaaacaaabaaaacc"
"1048","aabaaaacc"
"1049","aaabaacc"
"1050","abbaaaaaaaaaaaaaaaaaaaacc"
"1051","aaabaacacaabaaacc"
"1052","aabaaaaabaaaaacc"
"1053","aabaabaabaacc"
"1054","aabaaabaabaacc"
"1055","aabaaaacc"
"1056","aabaacc"
"1057","aabaaaccaacc"
"1058","aababaaaaacc"
"1059","aabaaaabaaaaaaacc"
"1060","aabaaaaaaccabaaaaaaacc"
"1061","aabaacc"
"1062","aaababaaabaaaaaabaaababbaaacc"
"1063","aacaaababaaaaaaaacc"
"1064","aabaaaaacc"
"1065","aababaaaaaaaacc"
"1066","aabbabaaabaaaaaaaaccacc"
"1067","aabaacc"
"1068","aaacc"
"1069","aabaaacc"
"1070","aababaaaaacc"
"1071","aabababaaabaaaaaaaaaaaacc"
"1072","aabaaccabaaaaacc"
"1073","aabababacc"
"1074","baaaaaaababaababaaabaaaacc"
"1075","bababaaaacc"
"1076","baaaaaabbabacc"
"1077","baabaabaacc"
"1078","bacc"
"1079","baababababaaaaacc"
"1080","baaaaaababacc"
"1081","babaaaacc"
"1082","aababaaaaaacc"
"1083","aabaaaacc"
"1084","aacacc"
"1085","aabaaacc"
"1086","aacacc"
"1087","aabaabbabaaaacc"
"1088","aabaaaaacc"
"1089","aabaaacc"
"1090","babaaacc"
"1091","baccaaaaaabbbaaabaacc"
"1092","babaaacc"
"1093","baaacc"
"1094","babababaababaaaababaaababaaaaacc"
"1095","baaaaaaabaaaabacc"
"1096","baaaaaaabaaaaaaabaaaaababaaaaacc"
"1097","babaaaacc"
"1098","aababacc"
"1099","aacaabababbacbacbacbacc"
"1100","aaabaabaaaaacc"
"1101","aaaababaaaaaaaaaaacc"
"1102","aaaaababbababaaaababbaaaacc"
"1103","aaaaabaaaabaacc"
"1104","aabaaacc"
"1105","aaaaaabaabaabaabaaaacc"
"1106","aababaaaabaaaacc"
"1107","aabbabacc"
"1108","aabaaabababaaaaaaacc"
"1109","aababbabaaabababacc"
"1110","aaaaacc"
"1111","aabaaaababaababaabaaaaaaacc"
"1112","aabacc"
"1113","aaacc"
"1114","aaabaaccaabaaaacc"
"1115","aabacc"
"1116","aabaaaabaaacc"
"1117","aaaacc"
"1118","aaacc"
"1119","aababaacc"
"1120","aababababaaacc"
"1121","aaaabaaccbaababaacc"
"1122","aabaaaaaaaaaaacc"
"1123","aaabaaaaababaaaaababaaaaaaacc"
"1124","aababaacababababbabababaaaaaaacc"
"1125","aabaaaacc"
"1126","aaaababacc"
"1127","aabaaaabaaaaaaaaaaacc"
"1128","aaccaabababaaaaaaaaaaaacc"
"1129","aababaaaaaaabaaacc"
"1130","aababaaaaaaaaaaaacc"
"1131","aac"
"1132","aabaacc"
"1133","aabbaaaaaaaaacc"
"1134","aabbaacc"
"1135","aabbabaaaaacc"
"1136","aababaaaaacc"
"1137","aababaaaaababaaabababababababaaabababababaaababaaababaaabaaacc"
"1138","aabababaaacc"
"1139","aaaabbabaaaaabacc"
"1140","aaabaaaaacc"
"1141","aaaaabaaacc"
"1142","aabaacaaacc"
"1143","aaabababaaabaaaaacc"
"1144","aababaaaaaababaaacc"
"1145","aababbaaaaacc"
"1146","aacaaacc"
"1147","aabaabacc"
"1148","aabaaabbabaaabaaabbaaabaaacc"
"1149","aababbabaaaacc"
"1150","aaabababaaaaaaaacc"
"1151","aaababaaaaabaacc"
"1152","aabaaaaaaaaacc"
"1153","aabaaacc"
"1154","aaaabaaaaaaaaaaaaaaaaaaaaaaaaaaacc"
"1155","aacaaababababaaacc"
"1156","aacababacc"
"1157","aababaaaaacc"
"1158","aababaacc"
"1159","aababaabbabaaacc"
"1160","aabaaabaaaaacc"
"1161","aaaaabaaabacc"
"1162","aaaaaaaaaaaaaacc"
"1163","babacc"
"1164","aaabaabacc"
"1165","aaaabaacc"
"1166","aaaabaaacc"
"1167","aacacabaaaacc"
"1168","aabaacc"
"1169","aabababaaaaabaaaaaaabaaaaaaaaacc"
"1170","aaabaacc"
"1171","aababaaababaaabaaacc"
"1172","aabaacc"
"1173","aaabababaaacccabaaacc"
"1174","aabaaababaaaaaaacc"
"1175","aaababaaaaacc"
"1176","aabaacc"
"1177","baaaaacc"
"1178","baabaaaaaaaabaaabaaaaaaaaaaacc"
"1179","babaaaacc"
"1180","babaaabaaaacc"
"1181","babaababaaacc"
"1182","babaababaaaaaacc"
"1183","babaababacc"
"1184","bacbabababaaacc"
"1185","baababaacc"
"1186","aacc"
"1187","aaaaaaaaaaacc"
"1188","aaacc"
"1189","aabaaaacc"
"1190","aabaaaabaaaaacc"
"1191","aabaacc"
"1192","aaaaabaaacc"
"1193","aabaaabaaaaaaabaaabbabaaaacc"
"1194","aaacc"
"1195","bacc"
"1196","baacc"
"1197","babababaaaababacc"
"1198","bababababaaaaababaaaaacc"
"1199","baaaaacc"
"1200","babbabaaabaaacc"
"1201","baababaacc"
"1202","babaababaaaaaacc"
"1203","baaaaaabaaaaaaaacc"
"1204","babaaaabababaacc"
"1205","baaababaaacc"
"1206","babaababaabacc"
"1207","babaababaaaaacc"
"1208","babaababaaacc"
"1209","babaababaaacc"
"1210","baababacc"
"1211","baababaaacc"
"1212","aababaacc"
"1213","aabbabaacc"
"1214","aaabaaaaaaaaaaaabaaaacc"
"1215","aaaac"
"1216","aababaacc"
"1217","aabaaabaaaaacc"
"1218","aababaaacc"
"1219","aaabaabaaaaaacc"
"1220","aabaababaaaaaaacc"
"1221","aabaacc"
"1222","aabaacc"
"1223","aababaaaabaacabbabaacc"
"1224","aaabaabababababaababaaaaababbaaacacc"
"1225","aacabaabaacc"
"1226","aababaaabaaabacc"
"1227","abbaacc"
"1228","aabaacbaaacc"
"1229","aababaaaacc"
"1230","aacc"
"1231","aabababaaaaaaaaacc"
"1232","aaababaaababaaaaaaaaaaaaacc"
"1233","aaaacc"
"1234","aabaaaaaaaaaaaaaaacc"
"1235","aaaacc"
"1236","aabacc"
"1237","aabaacc"
"1238","aacc"
"1239","aaabaaaaacc"
"1240","aabaabaaacc"
"1241","aacaaabaaaaaabaaacc"
"1242","aabaaaacc"
"1243","aabaabaaabaaabaaabaaababaaaaaacc"
"1244","aabaabababababaaababaaaabaabaaabaacc"
"1245","aabaaaacc"
"1246","aababaaacc"
"1247","aaacc"
"1248","aaaabaacc"
"1249","aababaaaaacc"
"1250","aabaaaacc"
"1251","aabaaaaacc"
"1252","aaaacc"
"1253","aababaaababababaaababaaaaacc"
"1254","aabaaabaaacc"
"1255","aaaaacc"
"1256","aabaacc"
"1257","aabbabacc"
"1258","aababacc"
"1259","aabaaacc"
"1260","aacabaaaaaababaababaaaaaabaaaaaacc"
"1261","aabaacc"
"1262","aaabaaaaaacc"
"1263","aabaaaacc"
"1264","aaabaaaababacaccacc"
"1265","aaaabaaaacc"
"1266","babaaaacc"
"1267","aaabaaaababababaaaaababaaaaaacc"
"1268","aaaac"
"1269","aababaaaacc"
"1270","aabaacc"
"1271","aabababacc"
"1272","aabaaaacbaaacbacc"
"1273","aababababababacc"
"1274","babacc"
"1275","aaaabaacaabaaaaababaaacc"
"1276","aaaac"
"1277","aaababababaaaaacc"
"1278","aaacc"
"1279","aababababaaababababaaacc"
"1280","aabaaababaaaaaaabaaaaaaaacc"
"1281","aaaac"
"1282","aabababacc"
"1283","aaaaaaacc"
"1284","aababaaabaaaabaaabababbababbababaaabaaaababbabaabaacc"
"1285","aaaac"
"1286","aabaaacc"
"1287","aabaaacc"
"1288","aababababababaaaacc"
"1289","aabacc"
"1290","aabaaaaababacc"
"1291","aabaaacc"
"1292","aaabaabaaaaacc"
"1293","aabababaaabaaacc"
"1294","aababaaaaaaaaaabaaaaaaacc"
"1295","aaaaacc"
"1296","aabaaabaaaabaaabaaaaaaacc"
"1297","aabaaaabababaaaabacc"
"1298","babaababacc"
"1299","babaababacc"
"1300","baababaaacc"
"1301","baababaaacc"
"1302","baabababaaaaacc"
"1303","baababacc"
"1304","baabababaaacc"
"1305","baababacc"
"1306","babaababaaaacc"
"1307","baabababaaacc"
"1308","babaabaaacbaaaacc"
"1309","baaaaaaaaababaaaaaaacbaaacc"
"1310","baababababaaacc"
"1311","baabababaaacc"
"1312","baababaaaabaaaaaacc"
"1313","aaaaabaacc"
"1314","aabaaacc"
"1315","aaaabababacc"
"1316","aababababababaabaaabababaaacc"
"1317","aababaaaaaaaaaabaaaaacc"
"1318","aaabaaaaaaaaaaaaaaaaaababaaaaaabaaacc"
"1319","aabaacc"
"1320","babaabbabaaacc"
"1321","baababaaacc"
"1322","baababaaacc"
"1323","baaaaacc"
"1324","baaaaaaaacc"
"1325","baabababababaaaaacc"
"1326","baababababaaaaacc"
"1327","baaaaaaaababacc"
"1328","babaaaaaaacc"
"1329","baaaacccababacababaaacc"
"1330","babababaaaaaaacc"
"1331","babababaacc"
"1332","baabaaaaaaacc"
"1333","baabababaaaababaaaaacc"
"1334","baababaaacc"
"1335","babaaabaaacc"
"1336","aabaaaabaaaaaaaabaaabaacc"
"1337","aababaaacc"
"1338","bbabacc"
"1339","bbabababbabaaaaaaaaaacc"
"1340","aaacc"
"1341","babaabaababacc"
"1342","aababababaaabababababaababababababababaaaacc"
"1343","aaabaababaababaababaabababaacc"
"1344","aaaabababababaaaaababaaaaaaaabacc"
"1345","aaaacc"
"1346","aaaabacc"
"1347","aaaababbaaabacc"
"1348","aabaabbaaacc"
"1349","aacabaaaacaaabaaaacc"
"1350","aaaac"
"1351","aabaaaaaaaccabaaaaacc"
"1352","aabababaaaacc"
"1353","aacaababbaaaaaaaacc"
"1354","aabaaacc"
"1355","aababbababaaacc"
"1356","aaabababaaaabaaabaaabaaaabaaaaaacc"
"1357","aacacaaacc"
"1358","aababaababaababaaccabababbababaaaacc"
"1359","aaabaabaaaaaacc"
"1360","aaabbabbaaababacc"
"1361","aabaaaaaaccaaaaacc"
"1362","aababaaacc"
"1363","aaaabaaabaaaacc"
"1364","aababaaacc"
"1365","aaaaaaaaaaaaaaaaacc"
"1366","aabaaacc"
"1367","aababaaababaaabaacc"
"1368","aacabaaaaaaacc"
"1369","aabaacc"
"1370","aabababaaabaabaaaaacc"
"1371","aaabaaaabaaaaaaaaaaaaacc"
"1372","aaabaaababaaaaaaaaaaacc"
"1373","aaaaabaaaaaaacc"
"1374","bbabaaaacc"
"1375","bbaacc"
"1376","bbabaaaaaaaaaaaacc"
"1377","bbbaaacc"
"1378","bbbababaaabacc"
"1379","aabaaaaacc"
"1380","aaabacc"
"1381","aaaabaaaaaaaaaaacc"
"1382","aaabaabaaabaacc"
"1383","aabaaacbaabaaababababababbaabaaaabaabababacc"
"1384","aabababacc"
"1385","aababababababaaaababacc"
"1386","aaaaaaaabbabaaaaabaaabaaaaacc"
"1387","aabaabaaaaacc"
"1388","aaaaaabacc"
"1389","aababaaaaacc"
"1390","aaabaababaaacc"
"1391","abbabaaacc"
"1392","aaaaaaaaaacc"
"1393","aabacc"
"1394","aababbababbabaaacc"
"1395","aababababaaacc"
"1396","aabaaacaaaabaaacc"
"1397","aabababaaababaacc"
"1398","aababaaaaacbaaaaacc"
"1399","aaabaacc"
"1400","aababaacc"
"1401","aababaaaaaacc"
"1402","aabaaaababaaaacc"
"1403","aababaacc"
"1404","aabaaaaabaaaaaaabaaaacc"
"1405","aabaacc"
"1406","aabaacacc"
"1407","aacaabaacc"
"1408","aacaacc"
"1409","aabaaaaacc"
"1410","aabababaaaaaaacc"
"1411","aaaacc"
"1412","aabaaaacc"
"1413","aabaaaaaaaaabaabaaacc"
"1414","aaababaacc"
"1415","aababaaabaaaaaaacbaaaacc"
"1416","aaabaaaacc"
"1417","aababababaacc"
"1418","aabaaaacc"
"1419","aacabaacc"
"1420","baababaaaaaacc"
"1421","bababacc"
"1422","babaaacc"
"1423","baabaaaacc"
"1424","babaaabaaaababaabaaaacc"
"1425","babaaacc"
"1426","babacc"
"1427","babaababaaaaacc"
"1428","bababaaaaaaacc"
"1429","babaacc"
"1430","baabababaaaaaaaacc"
"1431","baaaaabaabaaacc"
"1432","baaababaaabababababababaaabacc"
"1433","bababaaaaaaabaacc"
"1434","aaaaaaacc"
"1435","aabaacc"
"1436","aaacc"
"1437","aababababacababacc"
"1438","babacc"
"1439","aabaaaacc"
"1440","aababaaababaaaaaaaaaaaaacc"
"1441","aabbabbacc"
"1442","aabbabbaaabaccabaaaaaacc"
"1443","aababababababaaacc"
"1444","aabababababaacc"
"1445","aabababbabaaaaacc"
"1446","aaabaaaabbaaacc"
"1447","aababacc"
"1448","aabaaaaaaaaaaacaababaaaaabaaaaaaaaaaacc"
"1449","bbabaaaacc"
"1450","bbabaaacc"
"1451","bbabaaaacc"
"1452","bbabababbabaacc"
"1453","bbababaaacc"
"1454","bbababaaacc"
"1455","baaababaaabaaaaabaaacc"
"1456","baaaacc"
"1457","babaaababaaababaaacc"
"1458","bababacc"
"1459","baaaaaaaaaaacacc"
"1460","baaaaabaaaaaaaaaaaaacc"
"1461","aaaaaaaaaacc"
"1462","aabababaaabacc"
"1463","aabaaabaaaabaaabaaaabaaaaaaaaacc"
"1464","aabaabaaaaacc"
"1465","aabaaaaaaaaaacc"
"1466","aabaabababababababbabababaaaacc"
"1467","aababababaaaacc"
"1468","aababaaaababababaaacc"
"1469","aaaacc"
"1470","aaaacaaacc"
"1471","aabaaababaaaacc"
"1472","aababaaabaaabbabaaaaabacc"
"1473","aabaacc"
"1474","aababaaacc"
"1475","aaaacc"
"1476","aabacaaabaaacc"
"1477","aaababaaacaaaabababaacc"
"1478","aaaacc"
"1479","aacc"
"1480","aababaababaaabaacc"
"1481","aaabababaaaabababaaaacc"
"1482","aabaaaaacc"
"1483","aabbaacc"
"1484","aaaacc"
"1485","babacc"
"1486","aaabaaaacc"
"1487","aababacc"
"1488","aabaacc"
"1489","aacaabaaacc"
"1490","aabaacbabacc"
"1491","babacc"
"1492","aababaaacc"
"1493","aaaaac"
"1494","aaabaabaaaaaabaacc"
"1495","aaaabaaacc"
"1496","aabaaaaaacc"
"1497","aac"
"1498","aabaaaababaaabacbabaacc"
"1499","aaaaabbaaacc"
"1500","aabaacc"
"1501","ac"
"1502","aabbaaaccbaaaaacc"
"1503","aabbaacc"
"1504","aabababacc"
"1505","babacc"
"1506","aaaaabababaaacc"
"1507","aabbaacc"
"1508","aabaacc"
"1509","aabc"
"1510","aabaacc"
"1511","aabaaaaaaacc"
"1512","aaabbabaaaacc"
"1513","aaaacc"
"1514","aabababaaabaacc"
"1515","aababababaaaaaacc"
"1516","aabaaaaaaaaacc"
"1517","aaabaaaacc"
"1518","aababaaaaacc"
"1519","aababaababaaaaacc"
"1520","aaaababacc"
"1521","aabbababaaaacc"
"1522","aaabaaacc"
"1523","aaabaabbabaabbaababaacc"
"1524","aabacc"
"1525","aacaaacc"
"1526","aabaaacc"
"1527","acaaabaaaaababaaaabaaacc"
"1528","aabababaaaacc"
"1529","aaaabaabaaaacc"
"1530","aabaacc"
"1531","aabaacc"
"1532","aabaaabaabaaababaaaaaaaabaaaacc"
"1533","aababaaaaabacc"
"1534","aaacc"
"1535","aabaaaabacc"
"1536","aabaacc"
"1537","aabacc"
"1538","aabaaaacc"
"1539","aababaaaacc"
"1540","aababaaaaacc"
"1541","aababaaaaacc"
"1542","aabaaaaaacc"
"1543","aabaacc"
"1544","aaabaaaaababaaaaaaacc"
"1545","aabaaacc"
"1546","aaaaaabaacc"
"1547","aabaaaaaacc"
"1548","aacbabbabaaacc"
"1549","aabaacc"
"1550","aababaacc"
"1551","aaaacc"
"1552","aabaacc"
"1553","baabacc"
"1554","bababacc"
"1555","babacc"
"1556","baaababaaacc"
"1557","baaaababababaaaaacc"
"1558","baaaaaacc"
"1559","babaaaaaaccabababaaaaacc"
"1560","baabaaaacc"
"1561","aaaacc"
"1562","aaaababaaaacc"
"1563","aababacc"
"1564","bbbabaaaabaacc"
"1565","bbabacc"
"1566","bbabababacc"
"1567","bbabaacc"
"1568","bbaacc"
"1569","bbababaaacc"
"1570","bbbaabaacc"
"1571","aabaaaaaaacc"
"1572","aabaacc"
"1573","aabababacaababacc"
"1574","aababababaaaaacc"
"1575","aabaababaabababaaaacc"
"1576","aabaacc"
"1577","aabaaaaaacaaaacc"
"1578","aaaacc"
"1579","aabbaaaacc"
"1580","aabababaaaacc"
"1581","aaaacaabababaaaaacc"
"1582","aababababaaabaaaaacc"
"1583","aababababaacc"
"1584","aaaac"
"1585","aabaaaacc"
"1586","aaaaaababaaaabaaacc"
"1587","aababababaaacc"
"1588","aaaacaaacc"
"1589","aaaaaaac"
"1590","aacabaaaacc"
"1591","aabaaaaaacc"
"1592","aabaacc"
"1593","aaabababacc"
"1594","aabababababacc"
"1595","aaccaaabaaaaabaaabaaabaaaabaaaabaaaaaabacc"
"1596","aababababacabababababacc"
"1597","aabababaaaaaaacc"
"1598","aababacc"
"1599","aabababababbaaacc"
"1600","aabbabaabababababaabaababababaacc"
"1601","aabacababbaacc"
"1602","aabbaaaabaaabaaaaababababaaaacc"
"1603","aababababacc"
"1604","bababababaabaaabaabaaacc"
"1605","baaaaaacc"
"1606","babaaacc"
"1607","baaabaababaaacc"
"1608","baaaaaacc"
"1609","bababacc"
"1610","bababaaaaaabaaaaaacc"
"1611","bababaaacc"
"1612","babaababaaacc"
"1613","babaaacc"
"1614","bababacc"
"1615","babaacc"
"1616","baaaaaaaaaabaaaaacc"
"1617","bababaaaacc"
"1618","aabaacc"
"1619","aabaaacc"
"1620","aabababaaaabaaaaaaacc"
"1621","aaaabaaababaaaaabababaacc"
"1622","aabababaaaaaaaaaaaaaacc"
"1623","aaaabaacacc"
"1624","aabacc"
"1625","aababababaaaaaacc"
"1626","aabaababaaacc"
"1627","aabababababaacc"
"1628","aaababaabaaaaacc"
"1629","aababaacc"
"1630","aaaacc"
"1631","aaababababaaaaacbaaaacc"
"1632","aaaacc"
"1633","aabaacc"
"1634","aabaaacc"
"1635","aabababaacc"
"1636","aabababacc"
"1637","aabaacc"
"1638","aaacc"
"1639","aaabababaaaabaaaacc"
"1640","aaaababaaacc"
"1641","aaaacc"
"1642","aaababacc"
"1643","aaaaabaaabaaac"
"1644","aabaaacc"
"1645","aabaaaacc"
"1646","aabbaaaacc"
"1647","aaabaaaabaabaaacc"
"1648","aaabbaaaabaabbaaacc"
"1649","aabaabaaaabaaaabaaaaaaacc"
"1650","aaababababaacc"
"1651","aabaaaacc"
"1652","aabababaaacc"
"1653","aabaaaaaaaaaaaaacc"
"1654","aabaabababababaaaabaaaaabbaaabaacc"
"1655","aaacc"
"1656","aaaaacc"
"1657","aaaacc"
"1658","aaabababaaacc"
"1659","aaaacc"
"1660","aabaaaacc"
"1661","aaabaabaaaacc"
"1662","aacc"
"1663","aabacc"
"1664","aabaacc"
"1665","aaabaaabaaaacc"
"1666","aabaaaacc"
"1667","aaababaaacc"
"1668","aabbaacc"
"1669","aaabaaaaaabaaabaabaaaacc"
"1670","aaaacc"
"1671","aaabaaaababaaaabaacc"
"1672","aabaaaaaacc"
"1673","aaaacc"
"1674","aabababaaaacc"
"1675","aabaacc"
"1676","aabababacc"
"1677","aacaabaaaaaabacc"
"1678","aaaabaaaaabacc"
"1679","aabababaaaaacc"
"1680","aaabacababaabaaacc"
"1681","aababaacc"
"1682","aababababaaacc"
"1683","aababababababbaaaacc"
"1684","aababababaacc"
"1685","aacc"
"1686","aababaaaaaaabaaaaaaaabaaacc"
"1687","aabaaabaaaabaacc"
"1688","aaaacc"
"1689","aabaacc"
"1690","aabaaacc"
"1691","aaaacc"
"1692","aaaacc"
"1693","aabaacc"
"1694","aabaaacc"
"1695","aabababaaabababababaacbababaaaaacc"
"1696","aacabaaaaacc"
"1697","aaaabaacc"
"1698","aababaaaaacc"
"1699","aabaaaaaabaaaaaaaacc"
"1700","aabababacc"
"1701","aabacc"
"1702","aabaaccaabaacc"
"1703","aaaacc"
"1704","aababaabaaaaaaaaaaaaaaaacc"
"1705","aabaabaabaaacc"
"1706","aabbabaaaaccaacc"
"1707","babaacc"
"1708","aabaaacc"
"1709","aabababaaacc"
"1710","aaaababaacc"
"1711","aaaaaabaaacc"
"1712","aaababababaaaaaaacc"
"1713","aacc"
"1714","baac"
"1715","aababaacc"
"1716","aabbaaaacc"
"1717","aaaac"
"1718","aabaacc"
"1719","aababaaaaacc"
"1720","aaaabaaaaacc"
"1721","aaaac"
"1722","baaaaacc"
"1723","aabaacc"
"1724","aaacc"
"1725","aaacc"
"1726","aaacc"
"1727","aabaacc"
"1728","aaaabababaaaabaaacc"
"1729","aabababbaaabababaaacc"
"1730","aabaaaaacc"
"1731","aabaacc"
"1732","aabababababaaaacc"
"1733","aabaaabaaaaabaaaaaaaaaacc"
"1734","baaaaaababbacc"
"1735","baababababaaacc"
"1736","baaababaaabaababababaaacc"
"1737","baaabaaaabacbababababaabaaacc"
"1738","bababaaacc"
"1739","baaaaaaaaaacc"
"1740","baaaabbaaaaacc"
"1741","babaaaacc"
"1742","baaacc"
"1743","babbaaabbabaaacc"
"1744","bababaaaaaacc"
"1745","babababaaaaaacc"
"1746","baaaaabacacc"
"1747","babaacc"
"1748","baaacc"
"1749","baabaaacc"
"1750","aabababaaaaaaaacc"
"1751","aabababaaacc"
"1752","aaaaaaacc"
"1753","aabacc"
"1754","aabaaaacc"
"1755","aabaababaaacc"
"1756","aabaaacc"
